INDEX_BARANG,NAMA_BARANG,INDEX_WARNA,NAMA_WARNA,Gudang O,,
25,SR 10,423,Crimson,2,,1
25,SR 10,344,DARK BROWN,2,,1
25,SR 10,151,Dark Green,2,,1
25,SR 10,208,Dark Grey,2,,1
25,SR 10,157,Grey,2,,1
25,SR 10,158,Lime Green,2,,1
25,SR 10,362,MEDIUM BROWN,2,,1
25,SR 10,167,Milkbrown,2,,1
25,SR 10,163,Natural A,2,,1
25,SR 10,271,Navy Blue,2,,1
25,SR 10,281,Pale Blue,2,,1
25,SR 10,345,PEACOAT NAVY,2,,1
25,SR 10,262,Pure Red,2,,1
25,SR 10,285,Sage,2,,1
25,SR 10,263,Sea Blue,2,,1
25,SR 10,531,SEA GREEN,2,,1
25,SR 10,357,SGREEN,2,,1
25,SR 10,507,SILVER TAUPE,2,,1
25,SR 10,343,Sky Blue,2,,1
25,SR 10,168,Snow White,2,,1
25,SR 10,227,Stone,2,,1
25,SR 10,330,Sweet Orange,2,,1
25,SR 10,218,Taupe,2,,1
25,SR 10,350,VIOLET,2,,1
75,Srikandi,205,10,2,,1
75,Srikandi,522,70,2,,1
75,Srikandi,454,73,2,,1
75,Srikandi,144,105,2,,1
75,Srikandi,110,140,2,,1
75,Srikandi,258,160,2,,1
75,Srikandi,332,165,2,,1
75,Srikandi,274,180,2,,1
19,Stacey,140,224 Canvas,2,,1
19,Stacey,134,245 Smoke,2,,1
19,Stacey,66,274 Wood,2,,1
3,Suede,38,238/924 Navy,2,,1
3,Suede,10,901 Butter,2,,1
3,Suede,12,902 Chamois,2,,1
3,Suede,6,903 Beige,2,,1
3,Suede,7,904 BrownVille,2,,1
3,Suede,31,905 Khaki,2,,1
3,Suede,9,907 Buck Skin,2,,1
3,Suede,16,909 Dark Brown,2,,1
3,Suede,49,911 Red Wine,2,,1
3,Suede,22,913 Ferrari,2,,1
3,Suede,35,914 Maroon,2,,1
3,Suede,57,915 Smoke,2,,1
3,Suede,27,917 Grey,2,,1
3,Suede,25,918 Granite,2,,1
3,Suede,108,920 Jet Black,2,,1
3,Suede,21,922 Emerald,2,,1
3,Suede,58,923 Snow,2,,1
3,Suede,383,924 Navy,2,,1
3,Suede,17,925 Dark Cyan,2,,1
3,Suede,164,926 Almond,2,,1
3,Suede,37,929 Mulberry,2,,1
3,Suede,4,936 Army,2,,1
3,Suede,36,937 Midnight Blue,2,,1
3,Suede,5,Azure,2,,1
3,Suede,28,Hermes,2,,1
3,Suede,29,Hot Pink,2,,1
3,Suede,46,Purple,2,,1
3,Suede,60,Sunflower,2,,1
3,Suede,65,Wasabi,2,,1
23,Tesla,159,317 Blueberry,2,,1
23,Tesla,149,320 Rice,2,,1
182,Testing jual 1,198,074 Chocolate,2,,1
165,TOMFORD,486,CONCRETE,2,,1
36,Vienna,311,804 Walnut,2,,1
36,Vienna,174,Aqua,2,,1
36,Vienna,176,Black,2,,1
36,Vienna,178,Blue,2,,1
36,Vienna,179,Blue Jay,2,,1
36,Vienna,175,Brown,2,,1
36,Vienna,424,Chocolate,2,,1
36,Vienna,177,Custard,2,,1
36,Vienna,219,Graphite A,2,,1
36,Vienna,528,GRASS LIME,2,,1
36,Vienna,157,Grey,2,,1
36,Vienna,183,Ivory,2,,1
36,Vienna,472,IVY,2,,1
36,Vienna,513,KIWI,2,,1
36,Vienna,181,Mid Grey,2,,1
36,Vienna,217,Mocha,2,,1
36,Vienna,400,MOSS,2,,1
36,Vienna,524,MUSTANG,2,,1
36,Vienna,401,Pale Khaky,2,,1
36,Vienna,473,PEONY,2,,1
36,Vienna,429,RED WOOD,2,,1
36,Vienna,180,Ruby,2,,1
36,Vienna,236,SAHARA,2,,1
36,Vienna,441,silver black,2,,1
36,Vienna,529,STRING,2,,1
36,Vienna,394,TEAL,2,,1
36,Vienna,235,WOOD,2,,1
59,WR 4 717,146,240 Onyx A,2,,1
59,WR 4 717,241,244 Onyx B,2,,1
59,WR 4 717,415,248 Platinum B,2,,1
59,WR 4 717,416,287 Cashmere B,2,,1
158,WS 2 732,140,224 Canvas,2,,1
158,WS 2 732,134,245 Smoke,2,,1
158,WS 2 732,66,274 Wood,2,,1
158,WS 2 732,468,285 NORI,2,,1
158,WS 2 732,473,PEONY,2,,1
159,ZAGA,470,R 02,2,,1
159,ZAGA,475,R 11,2,,1
159,ZAGA,476,R 12,2,,1
159,ZAGA,481,R 15,2,,1
159,ZAGA,469,R 16,2,,1
177,ZEST,157,Grey,2,,1
177,ZEST,530,TAN,2,,1
177,ZEST,520,TOSCA,2,,1
